inchikey,substance_name,chemont_label,chemont_labels
PPMCTCAERIMPSL-DPIOYBAHSA-M,Potassium (2S-trans)-3-[[[2-(formylamino)thiazol-4-yl]oxoacetyl]amino]-2-methyl-4-oxoazetidine-1-sulphonate,Monobactams,Monobactams
PPNAOCWZXJOHFK-UHFFFAOYSA-N,manganese oxide,Transition metal oxides,Transition metal oxides
PPNKDDZCLDMRHS-UHFFFAOYSA-N,Bismuth trinitrate,Post-transition metal nitrates,Post-transition metal nitrates
PPPXRIUHKCOOMU-UHFFFAOYSA-N,1-phenylsulfonylpyrrole,Benzenesulfonamides,Benzenesulfonamides|Benzene and substituted derivatives|Benzenoids|Organic compounds
PPQUYYAZSOKTQD-UHFFFAOYSA-M,Diethylaluminium iodide,Alkylaluminium halides,Alkylaluminium halides|Alkylaluminium and derivatives
PPRDDFIRQKQEQN-LURJTMIESA-N,(2S)-2-[(4-Chlorobenzoyl)oxy]propanoic acid,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PPTXVXKCQZKFBN-UHFFFAOYSA-N,"(R)-1,1'-Binaphthalene-2,2'-diol",Naphthols and derivatives,Naphthols and derivatives|Naphthalenes|Benzenoids|Organic compounds
PPTXVXKCQZKFBN-UHFFFAOYSA-N,"(S)-1,1'-Binaphthalene-2,2'-diol",Naphthols and derivatives,Naphthols and derivatives|Naphthalenes|Benzenoids|Organic compounds
PPTXVXKCQZKFBN-UHFFFAOYSA-N,"1,1'-binaphthyl-2,2'-diol",Naphthols and derivatives,Naphthols and derivatives|Naphthalenes|Benzenoids|Organic compounds
PPUPUTQAJAIAIF-UHFFFAOYSA-N,"N-(3-{[5-(4-chlorophenyl)-1-(2,6-dichlorobenzoyl)-1H-pyrrolo[2,3-b]pyridin-3-yl]carbonyl}-2,4-difluorophenyl)propane-1-sulfonamide",Aryl-phenylketones,Aryl-phenylketones
PPVRMPPLECDING-UHFFFAOYSA-N,4'-aminoazobenzene-4-sulphonic acid,Azobenzenes,Azobenzenes
PPWNCLVNXGCGAF-UHFFFAOYSA-N,"3,3-dimethylbutyne",Acetylides,Acetylides|Organic compounds
PPXHOPIYSCYMQM-UHFFFAOYSA-N,Ethyl 2-ethoxy-5-((4-methylpiperazin-1-yl)sulfonyl)benzoate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PPXUHEORWJQRHJ-UHFFFAOYSA-N,Ethyl isovalerate,Fatty acid esters,Fatty acid esters
PPXVPFPTMXFUDE-UHFFFAOYSA-N,"Alkyl iodides, C8-14, γ-ω-perfluoro",Organoiodides,Organoiodides
PPZKPPCVXOWYLX-FUWURINLSA-N,"di-tert-butyl (2S,3E)-3-[(dimethylamino)methylene]-4-oxopyrrolidine-1,2-dicarboxylate",Alpha amino acid esters,Alpha amino acid esters|Alpha amino acids and derivatives
PPZMYIBUHIPZOS-UHFFFAOYSA-N,2-imidazol-4-ylethylamine dihydrochloride,2-arylethylamines,2-arylethylamines
PQAMFDRRWURCFQ-UHFFFAOYSA-N,2-ethylimidazole,Imidazoles,Imidazoles
PQDJYEQOELDLCP-UHFFFAOYSA-N,Trimethylsilane,Hydrocarbon derivatives,Hydrocarbon derivatives|Organic compounds
PQFLQZYVHUGIJP-UHFFFAOYSA-N,"N2-[6-[[4,6-bis[butyl-(2,2,6,6-tetramethyl-4-piperidyl)amino]-1,3,5-triazin-2-yl]-(2,2,6,6-tetramethyl-4-piperidyl)amino]hexyl]-N4,N6-dibutyl-N2,N4,N6-tris(2,2,6,6-tetramethyl-4-piperidyl)-1,3,5-triazine-2,4,6-triamine",Dialkylarylamines,Dialkylarylamines|Tertiary alkylarylamines|Tertiary amines
PQILACDFDBWRNK-UHFFFAOYSA-N,"tert-Butyl 4-bromo-5,6-dihydropyridine-1(2H)-carboxylate",Hydropyridines,Hydropyridines|Pyridines and derivatives
PQJJJMRNHATNKG-UHFFFAOYSA-N,Ethyl bromoacetate,Alpha-halocarboxylic acid derivatives,Alpha-halocarboxylic acid derivatives
PQJJJMRNHATNKG-UHFFFAOYSA-N,ethyl bromoacetate,Alpha-halocarboxylic acid derivatives,Alpha-halocarboxylic acid derivatives
PQJYXFVJBSRUPG-UHFFFAOYSA-N,"1,1'-(1,3-phenylenedicarbonyl)bis[2-methylaziridine]",Benzamides,Benzamides|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQKBPHSEKWERTG-LLVKDONJSA-N,Fenoxaprop-P,2-phenoxypropionic acid esters,2-phenoxypropionic acid esters|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQKBPHSEKWERTG-LLVKDONJSA-N,Fenoxaprop-P-ethyl,2-phenoxypropionic acid esters,2-phenoxypropionic acid esters|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQKBPHSEKWERTG-LLVKDONJSA-N,"fenoxaprop-P-ethyl (ISO); ethyl (2R)-2-{4-[(6-chloro-1,3-benzoxazol-2-yl)oxy]phenoxy}propanoate",2-phenoxypropionic acid esters,2-phenoxypropionic acid esters|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQKBPHSEKWERTG-UHFFFAOYSA-N,ethyl 2-[4-[(6-chlorobenzoxazol-2-yl)oxy]phenoxy]propionate; fenoxaprop-ethyl,2-phenoxypropionic acid esters,2-phenoxypropionic acid esters|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQKUZJNOANDNSP-UHFFFAOYSA-N,"3-(2,4-bis(4-((5-(4,6-bis(2-aminopropylamino)-1,3,5-triazin-2-ylamino)-4-hydroxy-2,7-disulfonaphthalen-3-yl)azo)phenylamino)-1,3,5-triazin-6-ylamino)propyldiethylammonium lactate",2-naphthalene sulfonates,2-naphthalene sulfonates
PQLJVFJXXWBUPR-UHFFFAOYSA-N,"Benzoic acid, 2-ethoxy-4-methyl-, ethyl ester",Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQLMXFQTAMDXIZ-UHFFFAOYSA-N,3-methylbutyl butyrate,Fatty acid esters,Fatty acid esters
PQMAKJUXOOVROI-UHFFFAOYSA-N,"2,2,3,3,5,5,6,6-octafluoro-4-(trifluoromethyl)morpholine",Nitrogen mustard compounds,Nitrogen mustard compounds|Organonitrogen compounds
PQMRKLSVUBRLLQ-XSYGEPLQSA-N,"(±)-13-ethyl-3-methoxygona-2,5(10)-dien-17-one",Oxosteroids,Oxosteroids|Steroids and steroid derivatives
PQMRKLSVUBRLLQ-XSYGEPLQSA-N,"13-β-ethyl-3-methoxygona-2,5(10)-dien-17-one",Oxosteroids,Oxosteroids|Steroids and steroid derivatives
PQSIXYSSKXAOFE-UHFFFAOYSA-N,Triisopropylsilyl acrylate,Trialkylheterosilanes,Trialkylheterosilanes|Organoheterosilanes
PQSXNIMHIHYFEE-UHFFFAOYSA-N,"4-(1-Phenylethyl)-benzene-1,3-diol",Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQSXXBSNZJLXMQ-UHFFFAOYSA-N,"2-(Diphenylmethyl)-1-azabicyclo[2,2,2]octan-3-one",Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQTAUFTUHHRKSS-UHFFFAOYSA-N,Benzyltoluene,Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
PQTBTIFWAXVEPB-UHFFFAOYSA-N,Sulcotrione,"Benzoylcyclohexane-1,3-diones","Benzoylcyclohexane-1,3-diones|Alkyl-phenylketones"
PQTBTIFWAXVEPB-UHFFFAOYSA-N,"sulcotrione (ISO); 2-[2-chloro-4-(methylsulfonyl)benzoyl]cyclohexane-1,3-dione","Benzoylcyclohexane-1,3-diones","Benzoylcyclohexane-1,3-diones|Alkyl-phenylketones"
PQUCIEFHOVEZAU-UHFFFAOYSA-N,Ammonium sulphite,Non-metal sulfites,Non-metal sulfites
PQWGFUFROKIJBO-UHFFFAOYSA-N,3'-chloropropiophenone,Alkyl-phenylketones,Alkyl-phenylketones
PQXKDMSYBGKCJA-CVTJIBDQSA-N,"(1R,2S,6R,7S)-4-{[(1R,2R)-2-{[4-(1,2-benzothiazol-3- yl)piperazin-1-yl]methyl}-cyclohexyl]methyl}-4- azatricyclo[5.2.1.0^{2,6}]decane-3,5-dione",N-arylpiperazines,N-arylpiperazines|Piperazines|Diazinanes
PQXKHYXIUOZZFA-UHFFFAOYSA-M,Lithium fluoride,Alkali metal fluorides,Alkali metal fluorides
PQXKWPLDPFFDJP-UHFFFAOYSA-N,"2,3-epoxybutane",Epoxides,Epoxides
PQXMKYVZAQIFBU-SWSRPJROSA-N,(4Z)-3-ammoniomethyl-4-(methoxyimino)pyrrolidinium dimethanesulfonate,Pyrrolidines,Pyrrolidines
PQXVEYYRJHMTEV-UHFFFAOYSA-N,"6,7-dimethoxy-3,4-dihydroisoquinoline hydrochloride",Dihydroisoquinolines,Dihydroisoquinolines
PQYJRMFWJJONBO-UHFFFAOYSA-N,"Tris (2,3 dibromopropyl) phosphate",Trialkyl phosphates,Trialkyl phosphates|Alkyl phosphates|Phosphate esters|Organic phosphoric acids and derivatives
PQYKVMYEZRFIKZ-UHFFFAOYSA-N,"[iminobis(ethyleneiminomethylene)]bis(phosphonic) acid, N,N-bis(phosphonomethyl) derivative, sodium salt",Organic phosphonic acids,Organic phosphonic acids|Organic phosphonic acids and derivatives
PRAKJMSDJKAYCZ-UHFFFAOYSA-N,"2,6,10,15,19,23-hexamethyltetracosane",Triterpenoids,Triterpenoids
PRAMZQXXPOLCIY-UHFFFAOYSA-N,Sulphoethyl methacrylate,Organosulfonic acids,Organosulfonic acids|Organosulfonic acids and derivatives|Organic sulfonic acids and derivatives
PRAMZQXXPOLCIY-UHFFFAOYSA-N,"methacrylic acid, 2-sulfoethyl ester",Organosulfonic acids,Organosulfonic acids|Organosulfonic acids and derivatives|Organic sulfonic acids and derivatives
PRBHEGAFLDMLAL-UHFFFAOYSA-N,"1,4-hexadiene",Alkadienes,Alkadienes
PRHNUUWYZMUIAO-UHFFFAOYSA-N,ethyl N-(5-chloro-2-methyl-4-sulfamoyl-phenyl)carbamate,Phenylcarbamic acid esters,Phenylcarbamic acid esters|Benzene and substituted derivatives|Benzenoids|Organic compounds
PRIUALOJYOZZOJ-UHFFFAOYSA-L,"2-ethylhexyl 4,4-dibutyl-10-ethyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate",Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
PRKPGWQEKNEVEU-UHFFFAOYSA-N,4-Methyl-N-[3-(triethoxysilyl)propyl]-2-pentanimine,Trialkoxysilanes,Trialkoxysilanes|Alkoxysilanes
PRKQVKDSMLBJBJ-UHFFFAOYSA-N,Ammonium carbonate,Organic carbonic acids,Organic carbonic acids|Organic carbonic acids and derivatives
PRKQVKDSMLBJBJ-UHFFFAOYSA-N,Diammonium carbonate,Organic carbonic acids,Organic carbonic acids|Organic carbonic acids and derivatives
PRKVOZSIFWDNAM-UHFFFAOYSA-N,"1-(4-Bromo-2-hydroxyphenyl)-2-(2,5-dibromophenyl)ethanone",Stilbenes,Stilbenes
PRLVTUNWOQKEAI-UHFFFAOYSA-N,Buprofezin,Thiadiazinanes,Thiadiazinanes
PRMDDINQJXOMDC-UHFFFAOYSA-N,"4,4',4''-(1-methylpropan-1-yl-3-ylidene)tris(2-cyclohexyl-5-methylphenol)",Cinnamylphenols,"Cinnamylphenols|Linear 1,3-diarylpropanoids"
PRNCMAKCNVRZFX-JTQLQIEISA-N,"(3S)-3,7-Dimethyl-1-octanol",Fatty alcohols,Fatty alcohols
PRNCMAKCNVRZFX-UHFFFAOYSA-N,"3,7-dimethyloctan-1-ol",Fatty alcohols,Fatty alcohols
PRNNATBNXILRSR-UHFFFAOYSA-N,Didocosyl sebacate,Fatty alcohol esters,Fatty alcohol esters
PRPINYUDVPFIRX-UHFFFAOYSA-N,1-Naphthylacetic acid (1-NAA),Naphthalenes,Naphthalenes|Benzenoids|Organic compounds
PRTRSEDVLBBFJZ-HNNXBMFYSA-N,"(1S)-1,2,3,4-tetrahydro-1-phenylisoquinoline",1-phenyltetrahydroisoquinolines,1-phenyltetrahydroisoquinolines|Tetrahydroisoquinolines
PRWJPWSKLXYEPD-UHFFFAOYSA-N,"1,1,3-tris(2-methyl-4-hydroxy-5- tert-butylphenyl) butane",Cinnamylphenols,"Cinnamylphenols|Linear 1,3-diarylpropanoids"
PRWJPWSKLXYEPD-UHFFFAOYSA-N,"4,4',4''-(1-methylpropanyl-3-ylidene)tris[6-tert-butyl-m-cresol]",Cinnamylphenols,"Cinnamylphenols|Linear 1,3-diarylpropanoids"
PRXNKYBFWAWBNZ-UHFFFAOYSA-N,Phenyltrimethylammonium tribromide,Aniline and substituted anilines,Aniline and substituted anilines|Benzene and substituted derivatives|Benzenoids|Organic compounds
PRXRUNOAOLTIEF-ADSICKODSA-N,Anhydro-D-glucitol trioleate,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives|Carboxylic acids and derivatives
PRXRUNOAOLTIEF-ADSICKODSA-N,sorbitan trioleate,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives|Carboxylic acids and derivatives
PSADRZMLSXCSAS-UHFFFAOYSA-N,Demoxepam,"1,4-benzodiazepines","1,4-benzodiazepines|Benzodiazepines"
PSBABWQQKLULPE-UHFFFAOYSA-N,"3-((5-(3-Acetoxy-2,2-dimethylpropylideneamino)-1,3,3-trimethylcyclohexyl)methylimino)-2,2-dimethylpropyl acetate",Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
PSBKJPTZCVYXSD-UHFFFAOYSA-N,5-methylheptan-3-one,Ketones,Ketones|Carbonyl compounds|Organooxygen compounds
PSBOOKLOXQFNPZ-UHFFFAOYSA-M,Lithium salicylate,Salicylic acids,Salicylic acids
PSCMQHVBLHHWTO-UHFFFAOYSA-K,Indium trichloride,Post-transition metal chlorides,Post-transition metal chlorides|Post-transition metal salts
PSCOJZWTFAIMED-UHFFFAOYSA-N,"N-butyl-3-(2-chloro-4-nitrophenylhydrazono)-1-cyano-2-methylprop-1-ene-1,3-dicarboximide",Alpha amino acid amides,Alpha amino acid amides|Alpha amino acids and derivatives
PSDFQEVOCCOOET-UHFFFAOYSA-N,"1,2-Bis(2-aminophenoxy)ethane",Aminophenyl ethers,Aminophenyl ethers|Phenol ethers|Benzenoids|Organic compounds
PSEPRWKZZJWRCB-UHFFFAOYSA-N,"4-methoxy-3,5-dimethylpyridine-2-methanol",Alkyl aryl ethers,Alkyl aryl ethers
PSFYTQQKPKMRLG-UHFFFAOYSA-N,"8-(prop-2-yn-1-yl)-8-azaspiro[4.5]decane-7,9-dione",Azaspirodecane derivatives,Azaspirodecane derivatives
PSGCQDPCAWOCSH-BREBYQMCSA-N,"Exo-1,7,7-trimethylbicyclo[2.2.1]hept-2-yl acrylate",Bicyclic monoterpenoids,Bicyclic monoterpenoids|Monoterpenoids
PSGCQDPCAWOCSH-BREBYQMCSA-N,"exo-1,7,7-trimethylbicyclo[2.2.1]hept-2-yl acrylate; isobornyl acrylate",Bicyclic monoterpenoids,Bicyclic monoterpenoids|Monoterpenoids
PSGWVYWYWXGZRS-UHFFFAOYSA-N,1-(3-(1-ethoxyethoxy)but-1-yn-1-yl)-6-isopropyl-3-methylcyclohex-2-enol,Menthane monoterpenoids,Menthane monoterpenoids|Monoterpenoids
PSHDYEFVSVGEDM-FMIVXFBMSA-N,"(4E)-2,4-dimethyl-5-(4-methylphenyl)pent-4-enal",Toluenes,Toluenes|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSIFNNKUMBGKDQ-UHFFFAOYSA-N,(1-((2'-(2H-tetrazol-5-yl)biphenyl-4-yl)methyl)-2-butyl-4-chloro-1H-imidazol-5-yl)methanol,Biphenyls and derivatives,Biphenyls and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSIOIPWJOZPZPA-YRNVUSSQSA-N,"(E)-2,4,7-trimethylocta-2,6-dien-1-ol",Fatty alcohols,Fatty alcohols
PSLVPUAZLINPDI-UHFFFAOYSA-N,(2-fluoro-4-phenoxyphenyl)boronic acid,Diphenylethers,Diphenylethers|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSMBIFNNFMRIMV-NTISSMGPSA-N,"(S)-3-benzyloxycarbonyl-1,2,3,4-tetrahydro-isoquinolinium 4-methylbenzenesulfonate",Alpha amino acid esters,Alpha amino acid esters|Alpha amino acids and derivatives
PSOOUFUNTVOUML-UHFFFAOYSA-N,"2,2,6,6-tetrakis(bromomethyl)-4-oxaheptane-1,7-diol",Dialkyl ethers,Dialkyl ethers
PSOVNZZNOMJUBI-UHFFFAOYSA-N,Chlorantraniliprole,Pyrazolylpyridines,Pyrazolylpyridines|Pyridines and derivatives
PSOVNZZNOMJUBI-UHFFFAOYSA-N,chlorantraniliprole (ISO); 3-bromo-N-[4-chloro-2-methyl-6-(methylcarbamoyl)phenyl]-1-(3-chloropyridin-2-yl)-1H-pyrazole-5-carboxamide; 3-bromo-4′-chloro-1-(3-chloro-2-pyridyl)-2′-methyl-6′-(methylcarbamoyl)-1H-pyrazole-5-carboxanilide,Pyrazolylpyridines,Pyrazolylpyridines|Pyridines and derivatives
PSOZMUMWCXLRKX-UHFFFAOYSA-N,"dinosam (ISO); 2-(1-methylbutyl)-4,6-dinitrophenol",Dinitrophenols,Dinitrophenols|Nitrophenols
PSPWJVSNMASNSL-UHFFFAOYSA-N,"3-fluoro-4'-pentyl-1,1'-biphenyl",Biphenyls and derivatives,Biphenyls and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSPWSLJRXBXEMQ-JOCHJYFZSA-N,(R)-2-{[(3-methyl-4-nitropyridine-2-yl)methyl]sulfinyl}-1H-benzimidazole,Sulfinylbenzimidazoles,Sulfinylbenzimidazoles|Benzimidazoles
PSQQNTVXIWUDSE-KNUAAVQWSA-N,"2,4-bis[2,2'-[2-(N,N-dimethylamino)ethyloxycarbonyl]phenylazo]-1,3-dihydroxybenzene, dihydrochloride",Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSQQNTVXIWUDSE-KNUAAVQWSA-N,"2,4-bis[2,2'-[2-(N,N-dimethylamino)ethyloxycarbonyl]phenylazo]-1,3-dihydroxybenzene-dihydrochloride",Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PSQYTAPXSHCGMF-BQYQJAHWSA-N,"(E)-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-buten-2-one",Sesquiterpenoids,Sesquiterpenoids
PSQYTAPXSHCGMF-UHFFFAOYSA-N,"4-(2,6,6-trimethylcyclohex-1-ene-1-yl)-but-3-ene-2-one",Sesquiterpenoids,Sesquiterpenoids
PSQZJKGXDGNDFP-UHFFFAOYSA-N,"2,2,3,3,3-pentafluoropropanol",Fluorohydrins,Fluorohydrins
PSSHGMIAIUYOJF-XBWDGYHZSA-N,"2,3:4,5-Di-O-isopropylidene-beta -D-fructopyranose",Dioxolopyrans,Dioxolopyrans
PSSMIMCIKZSQIG-UHFFFAOYSA-N,"3,4,5,5-tetramethylhex-2-ene",Branched unsaturated hydrocarbons,Branched unsaturated hydrocarbons
PSTWJANBJOHFQJ-UHFFFAOYSA-N,"demephion-S (ISO); O,O-dimethyl S-2-methylthioethyl phosphorothioate",Organothiophosphorus compounds,Organothiophosphorus compounds|Organophosphorus compounds|Organic compounds
PSYGHMBJXWRQFD-UHFFFAOYSA-N,Ethylene di(S-thioacetate),Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
PSYGHMBJXWRQFD-UHFFFAOYSA-N,ethyleneglycol bis(mercaptoacetate),Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives|Carboxylic acids and derivatives
PSYNKLMFCNBGAM-UHFFFAOYSA-N,"4-[(4,6-bis{[3-(diethylamino)propyl]amino}-1,3,5-triazin-2-yl)amino]-N-[2-(4,5,6,7-tetrachloro-1,3-dioxo-2,3-dihydro-1H-inden-2-yl)quinolin-8-yl]benzenesulfonamide",Indanediones,Indanediones|Indanones|Indanes|Benzenoids|Organic compounds
PTBDIHRZYDMNKB-UHFFFAOYSA-N,"2,2-bis(hydroxymethyl)propionic acid",Beta hydroxy acids and derivatives,Beta hydroxy acids and derivatives
PTCGDEVVHUXTMP-UHFFFAOYSA-N,Flutolanil,Benzanilides,Benzanilides|Aromatic anilides|Anilides|Benzene and substituted derivatives|Benzenoids|Organic compounds
PTCGDEVVHUXTMP-UHFFFAOYSA-N,"flutolanil (ISO); N-[3-(propan-2-yloxy)phenyl]-2-(trifluoromethyl)benzamide; α,α,α-trifluoro-3′-isopropoxy-o-toluanilide",Benzanilides,Benzanilides|Aromatic anilides|Anilides|Benzene and substituted derivatives|Benzenoids|Organic compounds
PTFIPECGHSYQNR-UHFFFAOYSA-N,3-pentadecylphenol,1-hydroxy-4-unsubstituted benzenoids,1-hydroxy-4-unsubstituted benzenoids
PTFJIKYUEPWBMS-UHFFFAOYSA-N,Ethalfluralin,Dinitroanilines,Dinitroanilines|Aniline and substituted anilines|Benzene and substituted derivatives|Benzenoids|Organic compounds
PTHDBHDZSMGHKF-UHFFFAOYSA-N,2-piperidin-2-ylethanol,Piperidines,Piperidines
PTIUDKQYXMFYAI-UHFFFAOYSA-N,Methylammonium nitrate,Organic nitrates,Organic nitrates|Organic oxoanionic compounds
PTIVACHGVHIMMK-UHFFFAOYSA-N,4-[[2-methoxy-4-[(4-nitrophenyl)azo]phenyl]azo]phenol,Azobenzenes,Azobenzenes
PTLRDCMBXHILCL-UHFFFAOYSA-M,Sodium arsenite,Metalloid oxides,Metalloid oxides
PTNUQSFEJXMNOQ-UHFFFAOYSA-N,"4-(2-oxo-2,3-dihydro-1H-benzimidazol-1-yl)butanoic acid",Benzimidazoles,Benzimidazoles
PTPMVSMJQWEBHQ-UHFFFAOYSA-N,"1,2-dihydro-6-hydroxy-4-methyl-1-[3-(1-methylethoxy)propyl]-2-oxo-3-pyridinecarbonitrile",3-pyridinecarbonitriles,3-pyridinecarbonitriles|Pyridines and derivatives
PTSZMMLYAGLVQJ-UHFFFAOYSA-N,Ethyl 4-(2-chloropyrimidin-4-yl)benzoate,Phenylpyrimidines,Phenylpyrimidines|Pyrimidines and pyrimidine derivatives
PTTPXKJBFFKCEK-UHFFFAOYSA-N,"2,6-dimethylheptan-4-one",Ketones,Ketones|Carbonyl compounds|Organooxygen compounds
PTTPXKJBFFKCEK-UHFFFAOYSA-N,"2,6-dimethylheptan-4-one; di-isobutyl ketone",Ketones,Ketones|Carbonyl compounds|Organooxygen compounds
PTVZQOAHCSKAAS-UHFFFAOYSA-N,4-methylthiosemicarbazide,Thiosemicarbazides,Thiosemicarbazides
PTWWAHZQIATUFG-UHFFFAOYSA-N,"7-chloro-1,3-dihydro-1-methyl-5-phenyl-2-oxo-2H-1,4-benzodiazepin-3-yl acetate","1,4-benzodiazepines","1,4-benzodiazepines|Benzodiazepines"
PTXDBYSCVQQBNF-UHFFFAOYSA-N,Isobutyl salicylate,o-Hydroxybenzoic acid esters,o-Hydroxybenzoic acid esters|Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PTXKTRAWAVSZKX-UHFFFAOYSA-N,2-Methyl-7-(4'-tert-butylphenyl)indene,Indenes and isoindenes,Indenes and isoindenes|Benzenoids|Organic compounds
PTXLKVODAFRGDG-UHFFFAOYSA-N,2-methyl-5-nitro-1H-imidazole-1-propanol monohydrochloride,Nitroimidazoles,Nitroimidazoles
PTYHPOBRZDGZNH-UHFFFAOYSA-N,hexadecyl 3-amino-4-isopropoxybenzoate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PTZNCCIULVXFIJ-UHFFFAOYSA-N,1-N-Boc-4-Piperidinecarboxylic acid methyl ester,Piperidinecarboxylic acids,Piperidinecarboxylic acids
PUBNJSZGANKUGX-UHFFFAOYSA-N,2-(dimethylamino)-2-[(4-methylphenyl)methyl]-1-[4-(morpholin-4-yl)phenyl]butan-1-one,Retro-dihydrochalcones,Retro-dihydrochalcones
PUCVWRXHWYQOFA-UHFFFAOYSA-N,3-(2-methoxy-5-methylphenyl)-3-phenylpropanal,Diphenylmethanes,Diphenylmethanes|Benzene and substituted derivatives|Benzenoids|Organic compounds
PUDDYSBKCDKATP-UHFFFAOYSA-N,methyl 2-amino-5-fluorobenzoate,Benzoic acid esters,Benzoic acid esters|Benzoic acids and derivatives|Benzene and substituted derivatives|Benzenoids|Organic compounds
PUDIUYLPXJFUGB-UHFFFAOYSA-N,Praseodymium,Homogeneous lanthanide compounds,Homogeneous lanthanide compounds
PUDMGOSXPCMUJZ-UHFFFAOYSA-N,4-aminomethyl-2-methoxyphenol hydrochloride,Methoxyphenols,Methoxyphenols
PUFQVTATUTYEAL-UHFFFAOYSA-N,Cinchocaine,Quinolones and derivatives,Quinolones and derivatives|Quinolines and derivatives
PUGFCQQOYJMKOO-UHFFFAOYSA-N,N-(3-hexadecyloxy-2-hydroxyprop-1-yl)-N-(2-hydroxyethyl)palmitamide,N-acyl amines,N-acyl amines|Fatty amides
PUGXASHPRMOMNU-UHFFFAOYSA-N,"3,7-Dimethyl-6-octenamide",Acyclic monoterpenoids,Acyclic monoterpenoids|Monoterpenoids
PUIBONOXSMACHY-UHFFFAOYSA-N,1-[(2-Propenylthio)carbonyl]-4-(2-methylphenyl)-5-amino-1H-pyrazol-3-one,Phenylpyrazoles,Phenylpyrazoles|Pyrazoles
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,Isoproturon,N-phenylureas,N-phenylureas|Benzene and substituted derivatives|Benzenoids|Organic compounds
PUIYMUZLKQOUOZ-UHFFFAOYSA-N,"isoproturon (ISO); 3-(4-isopropylphenyl)-1,1-dimethylurea",N-phenylureas,N-phenylureas|Benzene and substituted derivatives|Benzenoids|Organic compounds
PUJQFYHBQJGONX-UHFFFAOYSA-N,"4,4'-Methylenebis(N-(4-chlorophenyl)-3-hydroxynaphthalene-2-carboxamide)",Naphthalene-2-carboxanilides,Naphthalene-2-carboxanilides|Naphthalenecarboxamides|Naphthalenecarboxylic acids and derivatives|Naphthalenes|Benzenoids|Organic compounds
PUJQFYHBQJGONX-UHFFFAOYSA-N,"4,4'-methylenebis[N-(4-chlorophenyl)-3-hydroxynaphthalene-2-carboxamide]",Naphthalene-2-carboxanilides,Naphthalene-2-carboxanilides|Naphthalenecarboxamides|Naphthalenecarboxylic acids and derivatives|Naphthalenes|Benzenoids|Organic compounds
PUJSUOGJGIECFQ-UHFFFAOYSA-N,"3,5-dichlorobenzonitrile",Dichlorobenzenes,Dichlorobenzenes|Chlorobenzenes
PUKLDDOGISCFCP-JSQCKWNTSA-N,"17-α-hydroxypregn-4-ene-3,11,20-trione","Gluco/mineralocorticoids, progestogins and derivatives","Gluco/mineralocorticoids, progestogins and derivatives|Pregnane steroids|Steroids and steroid derivatives"
PUKVTQJSWWVOJZ-UHFFFAOYSA-N,"Spiro[isobenzofuran-1(3H),9'-[9H]xanthene]-2'-carboxylic acid, 6'-(diethylamino)-3-oxo-, ethyl ester",Xanthenes,Xanthenes
PUKWIVZFEZFVAT-UHFFFAOYSA-N,"2,2,5-trimethyl-5-pentylcyclopentan-1-one",Cyclic ketones,Cyclic ketones|Ketones|Carbonyl compounds|Organooxygen compounds
